cohort	metadata	metric	n_meta	gizmo_best_pc	gizmo_strength	gizmo_raw_p	mofa_best_factor	mofa_strength	mofa_raw_p
GSE65391_SLE	lupus_headache	spearman	924	1	0.04325198840883002	0.18898703131002087	9	0.04831142214566891	0.14226480448725595
GSE65391_SLE	cva	spearman	924	2	0.046213608157223515	0.16043190180882436	8	0.04917522790561701	0.13525985498453147
GSE65391_SLE	vasculitis	spearman	924	1	0.058519914542210665	0.07540922555348424	10	0.09157034280466637	0.005343143033017966
GSE65391_SLE	arthritis	spearman	924	2	0.148112749505639	6.1518710085681535e-06	8	0.1663643840357067	3.6632143755570516e-07
GSE65391_SLE	myositis	spearman	924	4	0.08818659832904446	0.007313118064102181	8	0.11734864413731981	0.00035073892491983025
GSE65391_SLE	urinary_casts	spearman	924	2	0.08289455878823958	0.011712003253751458	2	0.10632514071553642	0.0012087442207096186
GSE65391_SLE	hematuria	spearman	924	1	0.16024451676888476	9.776215673089487e-07	1	0.1475649069704036	6.662568622098972e-06
GSE65391_SLE	proteinuria	spearman	924	1	0.1353378300312346	3.669705345485503e-05	5	0.1446179898342599	1.0181839543975578e-05
GSE65391_SLE	pyuria	spearman	924	1	0.13875809996627372	2.309407433431101e-05	1	0.1283373585468522	9.152545485035768e-05
GSE65391_SLE	new_rash	spearman	924	2	0.15988251751342486	1.0348913839042456e-06	2	0.15957432881633254	1.086176352799301e-06
GSE65391_SLE	alopecia	spearman	924	2	0.09365472584972519	0.0043819946714247805	8	0.0945190594315476	0.004031562159861622
GSE65391_SLE	mucosal_ulcers	spearman	924	2	0.18199382302887251	2.529400543410946e-08	2	0.18183357689538798	2.6028581223262387e-08
GSE65391_SLE	pleurisy	spearman	924	2	0.03995894373848669	0.22494361138562377	8	0.06329828527155434	0.05442659885438377
GSE65391_SLE	pericarditis	spearman	924	2	0.05814504044600234	0.07730221197480186	2	0.059716528025624036	0.06961809005854565
GSE65391_SLE	low_complement	spearman	924	2	0.1966138812410641	1.6663831582882697e-09	2	0.21402386587703295	4.9222795625956854e-11
GSE65391_SLE	increased_dna_binding	spearman	924	3	0.12549998559551384	0.000130858670141421	9	0.12883436369376508	8.59040564209143e-05
GSE65391_SLE	fever	auc	924	3	0.38714742657749346	0.0038439331276027525	8	0.7144518755452167	9.558301971179697e-08
GSE65391_SLE	thrombocytopenia	auc	924	3	0.5838892172591406	0.000296700148854795	3	0.6411382251118805	7.0982510017592e-05
GSE65391_SLE	leukopenia	auc	924	3	0.5440440440440439	3.036455247402503e-08	3	0.5474224224224224	2.4935436158181482e-08
GSE65391_SLE	renal	auc	924	1	0.21736776105791145	1.3488025900575694e-08	1	0.20212988296093615	1.2806476044999976e-07
GSE65391_SLE	musculoskeletal	auc	924	2	0.3315524193548385	2.7340633313708373e-09	2	0.33735887096774175	1.4397931839860706e-09
GSE65391_SLE	serology	auc	924	3	0.21584401418052912	2.547033981947418e-05	3	0.21756544859558224	2.1940064399558813e-05
GSE65391_SLE	sledai_component_class	spearman	996	4	0.2001381930002752	1.8547739520522024e-10	5	0.16759226213924006	1.0368078340531066e-07
GSE65391_SLE	sledaic_lmm2	spearman	996	1	0.3020388057574182	1.866687307440195e-22	1	0.28327436185087845	7.785382222965574e-20
GSE65682_sepsis	gender	auc	802	5	0.058113304280953626	0.1606256741940184	9	0.08354268136375276	0.043700349888340206
GSE65682_sepsis	age	spearman	802	1	0.16097342228991174	4.616450445713722e-06	1	0.13966222390683874	7.233402524320701e-05
GSE65682_sepsis	pneumonia_diagnoses	spearman	802	5	0.09097929232269544	0.009942382777876449	5	0.10042262031142105	0.004417606150220356
GSE65682_sepsis	thrombocytopenia	spearman	802	5	0.13570188233108754	0.00011578896474641403	2	0.13072216055529215	0.0002054932461945656
GSE65682_sepsis	endotype_cohort	spearman	802	5	0.3226217099959595	6.978971425669017e-21	2	0.28515376376501456	1.804489445999923e-16
GSE65682_sepsis	endotype_class	spearman	802	2	0.32118768968990974	1.0582906093337418e-20	2	0.3878949563821357	3.400649241291105e-30
GSE65682_sepsis	mortality_event_28days	auc	479	3	0.2019706801249701	0.0011272216193976615	9	0.21586157173756293	0.000500116459915847
GSE65682_sepsis	time_to_event_28days	spearman	479	3	0.16109629383986887	0.0004005843283797344	3	0.15589186494258292	0.00061729116523239
GSE65682_sepsis	icu_acquired_infection	spearman	802	2	0.11289606218606277	0.0013627410173997067	7	0.15973274891145428	5.474513889720198e-06
GSE65682_sepsis	icu_acquired_infection_paired	spearman	802	2	0.3105129501846905	2.1888549450602185e-19	2	0.32372648608623317	5.056234651957559e-21
GSE65682_sepsis	diabetes_mellitus	spearman	802	2	0.20913051815283273	2.2382865098204597e-09	2	0.22610552119775912	9.338108671405972e-11
GSE65682_sepsis	abdominal_sepsis_and_controls	spearman	802	2	0.14388226319625871	4.320602598127679e-05	6	0.1636341713590296	3.188931535834524e-06
