cohort	metadata	metric	n_meta	gizmo_best_pc	gizmo_strength	gizmo_raw_p	mofa_best_factor	mofa_strength	mofa_raw_p	n_cohort_tests	bonf_cohort_thr	bonf_global_thr	gizmo_pc_var_frac	mofa_factor_var_frac	gizmo_survives_bonf_cohort	gizmo_survives_bonf_global	mofa_survives_bonf_cohort	mofa_survives_bonf_global
TCGA_IDH_glioma	idh_codel_subtype	spearman	974	1	0.5114436399877125	1.0805646278773712e-31	4	0.718521500692347	1.8978694823240866e-73	11	0.004545454545454546	0.00027624309392265195		0.15122460126605686	True	True	True	True
TCGA_IDH_glioma	transcriptome_subtype	spearman	898	2	0.7447279615697008	3.833780484979624e-67	2	0.7008507283404315	2.1673642103761927e-56	11	0.004545454545454546	0.00027624309392265195		0.1436217384368372	True	True	True	True
TCGA_IDH_glioma	original_subtype	spearman	1037	1	0.5119394150200627	9.239015944892425e-32	4	0.7163816558455317	7.979380723715591e-73	11	0.004545454545454546	0.00027624309392265195		0.15122460126605686	True	True	True	True
IDH_glioma	idh_mut	auc	88	1	0.7584905660377357	2.053987038920202e-09	3	0.9137466307277629	5.154529733550014e-13	3	0.016666666666666666	0.00027624309392265195	0.2991148373447334	0.15335502239873808	True	True	True	True
IDH_glioma	histology	spearman	88	2	0.2416908372987145	0.0232934011029663	2	0.5015115356125409	6.447838598655728e-07	3	0.016666666666666666	0.00027624309392265195	0.17574669582879887	0.12856075757988092	False	False	True	True
IDH_glioma	treatment_received	auc	88	4	0.304059652029826	0.053093088196666	1	0.2062966031483017	0.1899995635336244	3	0.016666666666666666	0.00027624309392265195	0.05327724170226411	0.5059951492737339	False	False	False	False
Gao_RA	diagnosis	auc	28	2	0.1428571428571428	0.5350644544782063	1	0.204081632653061	0.3702635725474709	3	0.016666666666666666	0.00027624309392265195	0.002695434319853392	0.758061821345885	False	False	False	False
Gao_RA	tissue	auc	28	2	1.0	9.272574815604624e-06	2	0.84375	0.0001861410768108	3	0.016666666666666666	0.00027624309392265195	0.002695434319853392	0.18071764872609927	True	True	True	True
Gao_RA	gender	auc	28	2	0.4385964912280702	0.0687437500045427	3	0.4152046783625731	0.0851209072116638	3	0.016666666666666666	0.00027624309392265195	0.002695434319853392	0.06122052992782774	False	False	False	False
Crohn	thiopurine	auc	58	4	0.1102941176470588	0.6014491712483897	7	0.2205882352941175	0.2879423884911257	1	0.05	0.00027624309392265195	0.08088996070771544	0.012622862951497449	False	False	False	False
Filbin_COVID	covid	auc	384	3	0.6643968053804119	1.3388460972114295e-19	4	0.6188314417822616	3.284626683443133e-17	25	0.002	0.00027624309392265195	0.07737733509709807	0.12860771093054962	True	True	True	True
Filbin_COVID	age_cat	spearman	384	5	0.3435316064135899	4.7597405869608495e-12	1	0.4748625472555873	6.165781742530863e-23	25	0.002	0.00027624309392265195	0.057479928134199956	0.226835323714263	False	False	True	True
Filbin_COVID	bmi_cat	spearman	384	2	0.1373084892720172	0.0071205211749233	8	0.2109118269720178	3.1680962245411404e-05	25	0.002	0.00027624309392265195	0.15486188523881286	0.047701352929622874	False	False	False	False
Filbin_COVID	acuity_0	spearman	384	3	0.4356835653254425	3.5650925528653653e-19	4	0.3738332330584844	3.781567379334903e-14	25	0.002	0.00027624309392265195	0.07737733509709807	0.12860771093054962	True	True	False	False
Filbin_COVID	acuity_3	spearman	384	3	0.5219807310718635	3.7484717813473797e-28	4	0.4568833370474255	3.773553679965753e-21	25	0.002	0.00027624309392265195	0.07737733509709807	0.12860771093054962	True	True	True	True
Filbin_COVID	acuity_7	spearman	384	3	0.4561225456022774	4.467376602001939e-21	4	0.3522883947067332	1.2403493644260706e-12	25	0.002	0.00027624309392265195	0.07737733509709807	0.12860771093054962	True	True	False	False
Filbin_COVID	acuity_28	spearman	384	3	0.3595459756844701	3.9409648383090953e-13	1	0.2741478683472973	4.967938317674255e-08	25	0.002	0.00027624309392265195	0.07737733509709807	0.226835323714263	False	False	False	False
Filbin_COVID	acuity_max	spearman	384	3	0.4278017281971263	1.785989103669765e-18	4	0.3377356216650792	1.1330140352123936e-11	25	0.002	0.00027624309392265195	0.07737733509709807	0.12860771093054962	True	True	False	False
Filbin_COVID	abs_neut_0_cat	spearman	380	2	0.2599190376788571	2.869303694174844e-07	8	0.4603270941382198	2.8296007814287386e-21	25	0.002	0.00027624309392265195	0.15486188523881286	0.047701352929622874	False	False	True	True
