cohort	pc	disease	disease_class	biology	best_match_cohort	best_match_pc	best_match_disease	best_match_cos	best_match_within_disease	intra_cohort_max_other_pc_cos	invisible_pct_gene	invisible_pct_protein	invisible_pct_metab	invisible_n_reaction	visible_pct_gene	visible_pct_protein	visible_pct_metab	visible_n_reaction	visible_k_size	top3_matches
GSE65391_SLE	5	SLE	inflammatory	MEX3C / CCL4L1 / ZNF223	GSE65682_sepsis	3	Sepsis	0.3018	False	0.0	100.0	0.0	0.0	0				0	0	GSE65682_sepsis·PC3 (0.302) | GSE65682_sepsis·PC4 (0.228) | GSE65682_sepsis·PC1 (0.119)
GSE65682_sepsis	3	Sepsis	inflammatory	RNF182 / ASPRV1 / RNF14	GSE65391_SLE	5	SLE	0.3018	False	0.0	100.0	0.0	0.0	0				0	0	GSE65391_SLE·PC5 (0.302) | GSE65391_SLE·PC3 (0.254) | GSE65391_SLE·PC1 (0.252)
HMP2_IBD_CD	5	IBD	inflammatory	Arginine<=>Agmatine+CO2 / guanidinoacetate + S-… / FMO3:FAD N-oxidises T…	Erawijantari	3	Gastric	0.2781	False	0.0	66.7	0.0	33.3	38	0.0	0.0	100.0	0	50	Erawijantari·PC3 (0.278) | Erawijantari·PC2 (0.182) | Erawijantari·PC1 (0.149)
KMPLOT_BRCA	5	Breast	cancer_subtype	Expression of IFN-ind… / CD84 homodimerises / NAGK dimer phosphoryl…	GSE89408_RA	3	RA	0.27	False	0.0	100.0	0.0	0.0	48	100.0	0.0	0.0	0	50	GSE89408_RA·PC3 (0.270) | TCGA_IDH_glioma·PC2 (0.206) | TCGA_LUAD·PC3 (0.186)
GSE89408_RA	3	RA	inflammatory	Glycophorins bind pla… / ethanol + NAD+ => ace… / AZGP1 binds PIP	KMPLOT_BRCA	5	Breast	0.27	False	0.0	100.0	0.0	0.0	47	100.0	0.0	0.0	0	50	KMPLOT_BRCA·PC5 (0.270) | TCGA_LUAD·PC1 (0.215) | TCGA_LUAD·PC4 (0.209)
CPTAC_CCRCC	4	Renal	cancer_intensity	AEBP1 / SMOC2 / SLC47A2	CPTAC_OV	1	Ovarian	0.2609	False	0.0	0.0	100.0	0.0	1				0	0	CPTAC_OV·PC1 (0.261) | GSE65391_SLE·PC1 (0.225) | Su_COVID·PC1 (0.176)
Su_COVID	1	COVID	inflammatory	SRPK1 viral nucleoprotein ↔ chemokine receptors	Gao_RA	3	RA	0.2592	False	0.0	0.0	100.0	0.0	31	0.0	46.0	54.0	0	50	Gao_RA·PC3 (0.259) | IDH_glioma·PC2 (0.225) | TCGA_IDH_glioma·PC2 (0.206)
Erawijantari	2	Gastric	microbiome_gastric	FMO3:FAD N-oxidises T… / TMA [endoplasmic reti… / FMO3	Crohn	2	IBD	0.2491	False	0.0	73.9	0.0	26.1	27	0.0	0.0	100.0	0	42	Crohn·PC2 (0.249) | HMP2_IBD_CD·PC5 (0.182) | Su_COVID·PC5 (0.178)
TCGA_LUAD	5	LungAdeno	cancer_GoF_subtype	HOXD1 mRNA is translated / Digestion of branched… / Digestion of linear s…	GSE89408_RA	2	RA	0.2329	False	0.0	80.0	0.0	20.0	45	100.0	0.0	0.0	0	50	GSE89408_RA·PC2 (0.233) | TCGA_IDH_glioma·PC5 (0.168) | GSE89408_RA·PC3 (0.146)
CPTAC_COAD	3	Colon	cancer_intensity	AZGP1 / CTRC / MT1G	CPTAC_OV	2	Ovarian	0.227	False	0.0	0.0	100.0	0.0	3				0	0	CPTAC_OV·PC2 (0.227) | CPTAC_CCRCC·PC4 (0.132) | Filbin_COVID·PC1 (0.101)
CPTAC_OV	2	Ovarian	cancer_intensity	ZNF703 / CPA3 / MFAP4	CPTAC_COAD	3	Colon	0.227	False	0.0	0.0	100.0	0.0	0				0	0	CPTAC_COAD·PC3 (0.227) | Su_COVID·PC1 (0.183) | CPTAC_COAD·PC2 (0.175)
CPTAC_CCRCC	3	Renal	cancer_intensity	PLVAP / PCDH12 / SLC34A2	CPTAC_OV	3	Ovarian	0.2254	False	0.0	0.0	100.0	0.0	0				0	0	CPTAC_OV·PC3 (0.225) | CPTAC_COAD·PC2 (0.178) | CPTAC_COAD·PC1 (0.151)
CPTAC_COAD	5	Colon	cancer_intensity	UGT2B17 / IFRD1 / CTRC	CPTAC_OV	3	Ovarian	0.2215	False	0.0	0.0	100.0	0.0	0				0	0	CPTAC_OV·PC3 (0.221) | CPTAC_CCRCC·PC1 (0.184) | CPTAC_OV·PC1 (0.155)
Gao_RA	1	RA	inflammatory	synovial inflammation	KMPLOT_BRCA	2	Breast	0.2102	False	0.0	0.0	47.1	52.9	33	0.0	98.0	2.0	0	50	KMPLOT_BRCA·PC2 (0.210) | KMPLOT_BRCA·PC1 (0.174) | Erawijantari·PC1 (0.140)
GSE89408_RA	4	RA	inflammatory	SCUBE1, SCUBE3 oligom… / CIDEA:CIDEC binds lip… / ethanol + NAD+ => ace…	TCGA_LUAD	1	LungAdeno	0.2058	False	0.0	85.7	0.0	14.3	43	100.0	0.0	0.0	0	50	TCGA_LUAD·PC1 (0.206) | IDH_glioma·PC2 (0.153) | IDH_glioma·PC1 (0.144)
Gao_RA	2	RA	inflammatory	Iron is reduced and s… / Carboxymycobactin [ph… / DEFA3	IDH_glioma	3	Glioma	0.2012	False	0.0	0.0	60.0	40.0	35	0.0	52.0	48.0	0	50	IDH_glioma·PC3 (0.201) | TCGA_IDH_glioma·PC4 (0.187) | IDH_glioma·PC1 (0.136)
CPTAC_CCRCC	2	Renal	cancer_intensity	PALLD / SLPI / SLC28A1	CPTAC_COAD	2	Colon	0.1851	False	0.0	0.0	100.0	0.0	0				0	0	CPTAC_COAD·PC2 (0.185) | CPTAC_OV·PC2 (0.172) | Crohn·PC2 (0.111)
CPTAC_CCRCC	1	Renal	cancer_intensity	Warburg/HIF ↔ renal tubule	CPTAC_COAD	5	Colon	0.1838	False	0.0	0.0	100.0	0.0	1				0	0	CPTAC_COAD·PC5 (0.184) | CPTAC_COAD·PC2 (0.156) | GSE65391_SLE·PC2 (0.133)
Crohn	4	IBD	inflammatory	DHODH:FMN oxidises (S… / UMPS dimer transfers … / CTNS cotransports CyS…	Erawijantari	1	Gastric	0.1789	False	0.0	0.0	76.0	24.0	25	0.0	100.0	0.0	0	50	Erawijantari·PC1 (0.179) | Gao_RA·PC3 (0.062) | Gao_RA·PC5 (0.062)
Erawijantari	1	Gastric	microbiome_gastric	3-hydroxyanthranilate… / LysoPtdCho [endoplasm… / 3-hydroxykynurenine +…	Crohn	4	IBD	0.1789	False	0.0	60.9	0.0	39.1	27	0.0	0.0	100.0	0	42	Crohn·PC4 (0.179) | HMP2_IBD_CD·PC5 (0.149) | Gao_RA·PC1 (0.140)
